,@timestamp,id_str,preds_label,created_at,text,place,user,retweet_count
0,2021-05-15T15:55:08.946+0000,1393595689989414914,refugees,Sat May 15 15:54:38 +0000 2021,"""The dead bodies shown floating in Ganga is the footage of Nigeria not India."" 

~ Life Changing Quotes
    by Kangna Runout","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'SaaniGaamuk', 'followers_count': '2415', 'name': 'Muzamil Farooq', 'location': 'Kashmir'}",0
1,2021-05-15T15:57:04.944+0000,1393596280979349507,tools,Sat May 15 15:56:59 +0000 2021,"RT @RetweetsMumbai: #beds #mumbai #hospital #ICU #BEDS 
Covid Wards And ICU Beds (Verified) 
1) Apollo Hospital, Navi Mumbai - 022-62806280…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'addictedhimansh', 'followers_count': '110', 'name': 'Himanshu |Sos Covid-19-20-21', 'location': 'rajasthan ,jaipur'}",0
2,2021-05-15T15:55:07.682+0000,1393595669026328582,refugees,Sat May 15 15:54:33 +0000 2021,"RT @GauravPandhi: Any other country in the world where:

🔹People died gasping for Oxygen?
🔹Dead bodies floating in rivers?
🔹FIRs against th…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'Naushad71554228', 'followers_count': '248', 'name': 'Naushad Alam', 'location': None}",0
3,2021-05-15T15:55:08.039+0000,1393595676571824133,refugees,Sat May 15 15:54:35 +0000 2021,"RT @MayurShinde9999: ""सब याद राखा जायेगा"" these are not covid deaths,they killed by govt.#systemfailure #govtfailure @jyotiyadaav
Covid kil…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'aksinha12', 'followers_count': '146', 'name': 'Arvind Sinha', 'location': 'Pune, India'}",0
4,2021-05-15T15:55:11.858+0000,1393595737104019456,refugees,Sat May 15 15:54:50 +0000 2021,"RT @GauravPandhi: Any other country in the world where:

🔹People died gasping for Oxygen?
🔹Dead bodies floating in rivers?
🔹FIRs against th…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'Chandra16629194', 'followers_count': '152', 'name': 'Chandrasekaran', 'location': 'india'}",0
5,2021-05-15T15:55:09.427+0000,1393595698562535427,refugees,Sat May 15 15:54:40 +0000 2021,"RT @flawsome_guy: Foreign media: People in India can't afford death. Dead bodies found in holy river

Sudhir Chaudhary: So what! 1gb mobile…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'Chandon_Kala', 'followers_count': '2127', 'name': 'Chandrakala P', 'location': 'Bengaluru, India'}",0
6,2021-05-15T15:58:08.232+0000,1393596546491453440,refugees,Sat May 15 15:58:03 +0000 2021,"RT @GauravPandhi: Any other country in the world where:

🔹People died gasping for Oxygen?
🔹Dead bodies floating in rivers?
🔹FIRs against th…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'Pravinsarpate1', 'followers_count': '376', 'name': 'Dr. Pravin Sarpate', 'location': None}",0
7,2021-05-15T15:55:27.935+0000,1393595874098302983,floods,Sat May 15 15:55:22 +0000 2021,"RT @IndiaToday: Cyclone Tauktae, currently centered over Lakshadweep, intensified into a cyclonic storm on Saturday morning.

#CycloneTaukt…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'unaffordabletlk', 'followers_count': '130', 'name': 'Tilak', 'location': 'Singapore'}",0
8,2021-05-15T15:55:08.808+0000,1393595687854514176,refugees,Sat May 15 15:54:38 +0000 2021,"RT @GauravPandhi: Any other country in the world where:

🔹People died gasping for Oxygen?
🔹Dead bodies floating in rivers?
🔹FIRs against th…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'sensible56', 'followers_count': '3879', 'name': 'Secular_Indian', 'location': 'Mumbai'}",0
9,2021-05-15T15:55:16.499+0000,1393595819115220995,refugees,Sat May 15 15:55:09 +0000 2021,"RT @GauravPandhi: Any other country in the world where:

🔹People died gasping for Oxygen?
🔹Dead bodies floating in rivers?
🔹FIRs against th…","{'country': 'Missing', 'name': 'Missing'}","{'screen_name': 'vt2rbi', 'followers_count': '16', 'name': 'vt2rbi', 'location': 'Rajendra Nagar, India'}",0
